"input_metabolite_name_final","original_index","contains_original","contains_derived","n_source_rows","input_hmdb_id","metabolite_id","input_pubchem","input_metabolite_name","input_chemspider","input_kegg","input_inchikey","input_chebi","multiple_identifiers","multiple_isomers","original"
"w1_finland_nmr_metabolomics_total_lipids_in_medium_hdl","656",TRUE,FALSE,1,NA,"BM00089",NA,"[W1 Finland NMR Metabolomics] Total lipids in medium HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_medium_ldl","480",TRUE,FALSE,1,NA,"BM00061",NA,"[W1 Finland NMR Metabolomics] Total lipids in medium LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_medium_vldl","260",TRUE,FALSE,1,NA,"BM00026",NA,"[W1 Finland NMR Metabolomics] Total lipids in medium VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_small_hdl","700",TRUE,FALSE,1,NA,"BM00096",NA,"[W1 Finland NMR Metabolomics] Total lipids in small HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_small_ldl","524",TRUE,FALSE,1,NA,"BM00068",NA,"[W1 Finland NMR Metabolomics] Total lipids in small LDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_small_vldl","304",TRUE,FALSE,1,NA,"BM00033",NA,"[W1 Finland NMR Metabolomics] Total lipids in small VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_very_large_hdl","566",TRUE,FALSE,1,NA,"BM00075",NA,"[W1 Finland NMR Metabolomics] Total lipids in very large HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_very_large_vldl","170",TRUE,FALSE,1,NA,"BM00012",NA,"[W1 Finland NMR Metabolomics] Total lipids in very large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_lipids_in_very_small_vldl","346",TRUE,FALSE,1,NA,"BM00040",NA,"[W1 Finland NMR Metabolomics] Total lipids in very small VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_phosphoglycerides","830",TRUE,FALSE,1,NA,"BM00188",NA,"[W1 Finland NMR Metabolomics] Total phosphoglycerides (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_total_triglycerides","802",TRUE,FALSE,1,NA,"BM00184",NA,"[W1 Finland NMR Metabolomics] Serum total triglycerides (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_chylomicrons_and_extremely_large_vldl","156",TRUE,FALSE,1,NA,"BM00010",NA,"[W1 Finland NMR Metabolomics] Triglycerides in chylomicrons and extremely large VLDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_hdl","823",TRUE,FALSE,1,NA,"BM00187",NA,"[W1 Finland NMR Metabolomics] Triglycerides in HDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
"w1_finland_nmr_metabolomics_triglycerides_in_idl","422",TRUE,FALSE,1,NA,"BM00052",NA,"[W1 Finland NMR Metabolomics] Triglycerides in IDL (mmol/l)",NA,NA,NA,NA,FALSE,FALSE,NA
