"metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"HMDB00243","Pyruvate","HMDB00243","107735;1060",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","1060","HMDB00243","HMDB0000243",NA,NA,NA,NA,"pyruvate","HMDB00243","HMDB0000243",FALSE,FALSE
"HMDB00243","pyruvate","HMDB00243","107735;1060",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","107735","HMDB00243","HMDB0000243",NA,NA,NA,NA,"pyruvate","HMDB00243","HMDB0000243",FALSE,FALSE
"HMDB00243","pyruvate","HMDB00243","107735;1060",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","1060","HMDB00243","HMDB0000243",NA,NA,NA,NA,"pyruvate","HMDB00243","HMDB0000243",FALSE,FALSE
"HMDB00277","Erythro-sphingosine-1-phosphate","HMDB00277","5283560;10883396",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5283560","HMDB00277","HMDB0000277",NA,NA,NA,NA,"erythro_sphingosine_1_phosphate","HMDB00277","HMDB0000277",FALSE,FALSE
"HMDB00277","Erythro-sphingosine-1-phosphate","HMDB00277","5283560;10883396",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","10883396","HMDB00277","HMDB0000277",NA,NA,NA,NA,"erythro_sphingosine_1_phosphate","HMDB00277","HMDB0000277",FALSE,FALSE
"HMDB00277","sphingosine 1-phosphate","HMDB00277","5283560;10883396",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5283560","HMDB00277","HMDB0000277",NA,NA,NA,NA,"sphingosine 1_phosphate","HMDB00277","HMDB0000277",FALSE,FALSE
"HMDB00277","sphingosine 1-phosphate","HMDB00277","5283560;10883396",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","10883396","HMDB00277","HMDB0000277",NA,NA,NA,NA,"sphingosine 1_phosphate","HMDB00277","HMDB0000277",FALSE,FALSE
"HMDB00336","3-hydroxyisobutyrate","HMDB00336","11966314;87",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","11966314","HMDB00336","HMDB0000336",NA,NA,NA,NA,"3_hydroxyisobutyrate","HMDB00336","HMDB0000336",FALSE,FALSE
"HMDB00336","3-hydroxyisobutyrate","HMDB00336","11966314;87",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","87","HMDB00336","HMDB0000336",NA,NA,NA,NA,"3_hydroxyisobutyrate","HMDB00336","HMDB0000336",FALSE,FALSE
"HMDB00574","Cysteine","HMDB00574","5862;6419722",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5862","HMDB00574","HMDB0000574",NA,NA,NA,NA,"cysteine","HMDB00574","HMDB0000574",FALSE,FALSE
"HMDB00574","Cysteine","HMDB00574","5862;6419722",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6419722","HMDB00574","HMDB0000574",NA,NA,NA,NA,"cysteine","HMDB00574","HMDB0000574",FALSE,FALSE
"HMDB00574","cysteine","HMDB00574","5862;6419722",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","5862","HMDB00574","HMDB0000574",NA,NA,NA,NA,"cysteine","HMDB00574","HMDB0000574",FALSE,FALSE
"HMDB00574","cysteine","HMDB00574","5862;6419722",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6419722","HMDB00574","HMDB0000574",NA,NA,NA,NA,"cysteine","HMDB00574","HMDB0000574",FALSE,FALSE
"HMDB00640","1,6-anhydroglucose","HMDB00640","11412545;2724705",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","11412545","HMDB00640","HMDB0000640",NA,NA,NA,NA,"1_6_anhydroglucose","HMDB00640","HMDB0000640",FALSE,FALSE
"HMDB00640","1,6-anhydroglucose","HMDB00640","11412545;2724705",NA,NA,NA,NA,TRUE,"SAME_CORE_DIFFERENT_STEREO_OR_SALT","2724705","HMDB00640","HMDB0000640",NA,NA,NA,NA,"1_6_anhydroglucose","HMDB00640","HMDB0000640",FALSE,FALSE
"HMDB00684","Kynurenine","HMDB00684","161166;6971029",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","161166","HMDB00684","HMDB0000684",NA,NA,NA,NA,"kynurenine","HMDB00684","HMDB0000684",FALSE,FALSE
"HMDB00684","Kynurenine","HMDB00684","161166;6971029",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6971029","HMDB00684","HMDB0000684",NA,NA,NA,NA,"kynurenine","HMDB00684","HMDB0000684",FALSE,FALSE
"HMDB00684","kynurenine","HMDB00684","161166;6971029",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","161166","HMDB00684","HMDB0000684",NA,NA,NA,NA,"kynurenine","HMDB00684","HMDB0000684",FALSE,FALSE
"HMDB00684","kynurenine","HMDB00684","161166;6971029",NA,NA,NA,NA,TRUE,"IDENTICAL_INCHIKEY","6971029","HMDB00684","HMDB0000684",NA,NA,NA,NA,"kynurenine","HMDB00684","HMDB0000684",FALSE,FALSE
