"uid_01","hmdb_id","biochemical"
"HMDB00660#HMDB00660_M00577","HMDB0000660#HMDB0000660","D-Fructose#D-Fructose"
"HMDB00169#HMDB00169_M00584","HMDB0000169#HMDB0000169","D-Mannose#D-Mannose"
"HMDB00243#HMDB00243_M00599","HMDB0000243#HMDB0000243","Pyruvic acid#Pyruvic acid"
"HMDB01429#HMDB01429_M11438","HMDB0001429#HMDB0001429","Phosphate#Phosphate"
"HMDB00126#HMDB00126_M15365","HMDB0000126#HMDB0000126","Glycerol 3-phosphate#Glycerol 3-phosphate"
"CHEM100000285#COMP15630","HMDB0003357#HMDB0003357","N-Acetylornithine#N-Acetylornithine"
"HMDB00191#HMDB00191_M15996","HMDB0000191#HMDB0000191","L-Aspartic acid#L-Aspartic acid"
"HMDB02183#HMDB02183_M19323","HMDB0002183#HMDB0002183","Docosahexaenoic acid#Docosahexaenoic acid"
"HMDB00211#HMDB00211_M19934","HMDB0000211#HMDB0000211","myo-Inositol#myo-Inositol"
"HMDB00122#HMDB00122_M20489","HMDB0000122#HMDB0000122","D-Glucose#D-Glucose"
"HMDB00019#HMDB00019_M21047","HMDB0000019#HMDB0000019","alpha-Ketoisovaleric acid#alpha-Ketoisovaleric acid"
"HMDB00222#HMDB00222_M22189","HMDB0000222#HMDB0000222","L-Palmitoylcarnitine#L-Palmitoylcarnitine"
"HMDB00054#HMDB00054_M27716","HMDB0000054#HMDB0000054","Bilirubin#Bilirubin"
"HMDB00574#HMDB00574_M31453","HMDB0000574#HMDB0000574","L-Cysteine#L-Cysteine"
"HMDB00187#HMDB00187_M32315","HMDB0000187#HMDB0000187","L-Serine#L-Serine"
"HMDB00725#HMDB00725_M32319","HMDB0000725#HMDB0000725","4-Hydroxyproline#4-Hydroxyproline"
"HMDB00148_HMDB03339#HMDB00148_HMDB03339_M32322","HMDB0000148#HMDB0000148","L-Glutamic acid#L-Glutamic acid"
"HMDB00123#HMDB00123_M32338","HMDB0000123#HMDB0000123","Glycine#Glycine"
"HMDB00161#HMDB00161_M32339","HMDB0000161#HMDB0000161","L-Alanine#L-Alanine"
