Unnamed: 0,input_hmdb_id,input_pubchem,metabolite_id,input_metabolite_name_final,original_index,contains_original,contains_derived,n_source_rows,input_metabolite_name,input_chemspider,input_kegg,input_inchikey,input_chebi,multiple_identifiers,multiple_isomers,original
49,,5282768,HMDB02231,eicosenoate_20_1n9 or 1n11,6087,True,False,1.0,eicosenoate (20:1n9 or 1n11),,,,,False,True,
49,,5282768,HMDB02231,eicosenoate_20_1n9,49,True,False,1.0,eicosenoate (20:1n9),,,,,False,True,
49,,5282768,HMDB02231,eicosenoate_1n11,49,True,False,1.0,eicosenoate (1n11),,,,,False,True,
50,,6912,CHEM100006430,arabitol_xylitol,2194,True,False,1.0,arabitol/xylitol,,,,,False,True,
50,,6912,CHEM100006430,arabitol,50,True,False,1.0,arabitol,,,,,False,True,
50,,6912,CHEM100006430,xylitol,50,True,False,1.0,xylitol,,,,,False,True,
51,,,BIOCHEM_3HYDHEXTETCARNITINE,3_hydroxy_hexadecanoyl carnitine or tetradecanedioyl carnitine,20,True,False,1.0,3-Hydroxy-hexadecanoyl carnitine or Tetradecanedioyl carnitine,,,,,False,True,
51,,,BIOCHEM_3HYDHEXTETCARNITINE,3_hydroxy_hexadecanoyl carnitine,51,True,False,1.0,3-Hydroxy-hexadecanoyl carnitine,,,,,False,True,
51,,,BIOCHEM_3HYDHEXTETCARNITINE,tetradecanedioyl carnitine,51,True,False,1.0,Tetradecanedioyl carnitine,,,,,False,True,
52,,,BIOCHEM_3HYDROXOCTHEXCARN,3_hydroxy_octadecanoyl carnitine or hexadecanedioyl carnitine_thapsoyl carnitine,21,True,False,1.0,"3-Hydroxy-octadecanoyl carnitine or Hexadecanedioyl carnitine, thapsoyl carnitine",,,,,False,True,
52,,,BIOCHEM_3HYDROXOCTHEXCARN,3_hydroxy_octadecanoyl carnitine,52,True,False,1.0,3-Hydroxy-octadecanoyl carnitine,,,,,False,True,
52,,,BIOCHEM_3HYDROXOCTHEXCARN,hexadecanedioyl carnitine_thapsoyl carnitine,52,True,False,1.0,"Hexadecanedioyl carnitine, thapsoyl carnitine",,,,,False,True,
53,,,BIOCHEM_3HYDTETDODECARNITINE,3_hydroxy_tetradecanoyl carnitine or dodecanedioyl carnitine,23,True,False,1.0,3-Hydroxy-tetradecanoyl carnitine or Dodecanedioyl carnitine,,,,,False,True,
53,,,BIOCHEM_3HYDTETDODECARNITINE,3_hydroxy_tetradecanoyl carnitine,53,True,False,1.0,3-Hydroxy-tetradecanoyl carnitine,,,,,False,True,
53,,,BIOCHEM_3HYDTETDODECARNITINE,dodecanedioyl carnitine,53,True,False,1.0,Dodecanedioyl carnitine,,,,,False,True,
54,,,BIOCHEM_ASPARA,asparatate_asparatime,26,True,False,1.0,Asparatate/asparatime,,,,,False,True,
54,,,BIOCHEM_ASPARA,asparatate,54,True,False,1.0,Asparatate,,,,,False,True,
