"","metabolite_id","input_metabolite_name","input_hmdb_id","input_pubchem","input_chemspider","input_kegg","input_inchikey","input_chebi","split_input_pubchem","split_reason","input_pubchem_final","metabolite_id_final","input_hmdb_id_final","input_kegg_final","input_chebi_final","input_chemspider_final","input_inchikey_final","input_metabolite_name_final","metabolite_id_final_1","metabolite_id_final_2","has_descriptive_terms","has_multiple_ids"
"88","BM00018","Concentration of large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00018",NA,NA,NA,NA,NA,"concentration of large vldl particles_mol_l","BM00018","BM00018",TRUE,FALSE
"89","BM00018","Concentration of large VLDL particles (mol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00018",NA,NA,NA,NA,NA,"concentration of large vldl particles_mol_l","BM00018","BM00018",TRUE,FALSE
"90","BM00018","Concentration of large VLDL particles (mol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00018",NA,NA,NA,NA,NA,"concentration of large vldl particles_mol_l__s5","BM00018","BM00018",TRUE,FALSE
"91","BM00019","[W1 Finland NMR Metabolomics] Total lipids in large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00019",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_total lipids in large vldl_mmol_l","BM00019","BM00019",TRUE,FALSE
"92","BM00019","Total lipids in large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00019",NA,NA,NA,NA,NA,"total lipids in large vldl_mmol_l","BM00019","BM00019",TRUE,FALSE
"93","BM00019","Total lipids in large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00019",NA,NA,NA,NA,NA,"total lipids in large vldl_mmol_l","BM00019","BM00019",TRUE,FALSE
"94","BM00019","Total lipids in large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00019",NA,NA,NA,NA,NA,"total lipids in large vldl_mmol_l","BM00019","BM00019",TRUE,FALSE
"95","BM00019","Total lipids in large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00019",NA,NA,NA,NA,NA,"total lipids in large vldl_mmol_l","BM00019","BM00019",TRUE,FALSE
"96","BM00019","Total lipids in large VLDL (mmol/L) (s5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00019",NA,NA,NA,NA,NA,"total lipids in large vldl_mmol_l__s5","BM00019","BM00019",TRUE,FALSE
"97","BM00020","[W1 Finland NMR Metabolomics] Phospholipids in large VLDL (mmol/l)",NA,NA,NA,NA,NA,NA,NA,NA,NA,"BM00020",NA,NA,NA,NA,NA,"w1 finland nmr metabolomics_phospholipids in large vldl_mmol_l","BM00020","BM00020",TRUE,FALSE
